angDist,_RAJ2000,_DEJ2000,recno,Seq,Cloud,ID,Av,alpha,Tbol,Lbol,alpha0,Tbol0,Lbol0,AGB?,Core?,F1.25,e_F1.25,F1.65,e_F1.65,F2.17,e_F2.17,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,F24,e_F24,F70,e_F70,F0.36,e_F0.36,F0.44,e_F0.44,F0.55,e_F0.55,F0.64,e_F0.64,F0.665,e_F0.665,F0.79,e_F0.79,F0.914,e_F0.914,F0.96,e_F0.96,F3.4,e_F3.4,F5.0,e_F5.0,F6.7,e_F6.7,F12,e_F12,F14,e_F14,F22,e_F22,F160,e_F160,F350,e_F350,F450,e_F450,F850,e_F850,F1100,e_F1100,F1200,e_F1200,F1300,e_F1300,SED,SimbadName,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
1.199690,270.436667,-4.828056,1,1,Aquila,J180144.8-044941,8.2,-2.16,1700.0,3.0,-2.52,2000.0,8.2,N,-,290.0,7.3,820.0,33.0,1100.0,21.0,620.0,36.0,420.0,24.0,350.0,17.0,220.0,11.0,67.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,160.0,2.3,,,87.0,2.3,,,,,,,,,,,,,,,SED,SSTgbs J1801448-044941,270.4367,-4.8281,270.43699521169,-4.82811998428,0.0025119,0.0017604,62.44,4174076095605908992,270.43697332565,0.1111,-4.82812970155,0.0985,0.6287,0.1348,4.6636,5.372,-4.907,0.148,-2.186,0.119,256,5.3491,6047.15,1.058,2.092e+02,95,1.0767,0.0297,17,1.247,0,1.75768e+04,1.07511e+02,15.075016,1.43983e+02,1.05945e+01,19.942764,3.42668e+04,13.410711,1.958,6.532053,,,0,,,102202704369306657,,274064549,426213218,0.007190,0.079939,0.017419,15.058851,0.007099,1.78405e+04,-0.018,2.3712,1.9458,0.2854
1.362338,270.440833,-4.983889,2,2,Aquila,J180145.8-045902,8.0,-2.14,1700.0,1.4,-2.56,2000.0,3.7,N,-,140.0,3.3,370.0,14.0,480.0,9.3,300.0,15.0,160.0,7.7,150.0,6.9,92.0,4.3,36.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,70.0,1.0,,,47.0,1.6,,,,,,,,,,,,,,,SED,SSTgbs J1801458-045902,270.4408,-4.9839,270.44117825747,-4.98404681053,0.0024410,0.0019346,64.08,4174065100489571456,270.44116133675,0.1265,-4.98407772633,0.1164,-0.1385,0.1607,-0.8619,7.923,-3.793,0.147,-6.956,0.124,214,7.1457,2352.30,1.061,8.810e+01,95,1.1135,0.0308,16,1.368,0,8.09464e+03,5.45602e+01,15.916873,6.65365e+01,6.56734e+00,20.780893,1.61906e+04,14.224738,2.008,6.556155,,,0,,,102012704411289517,,274061252,426213226,0.007820,0.107202,0.019286,15.900708,0.007719,8.21606e+03,0.029,2.3526,2.0411,0.1814
0.560701,270.475833,-4.631389,3,3,Aquila,J180154.2-043753,12.4,-2.57,2100.0,0.52,-3.22,2600.0,4.7,Y,-,220.0,5.2,180.0,3.4,120.0,2.3,53.0,2.8,34.0,1.7,23.0,1.1,13.0,0.65,3.2,0.38,36,9.0,,,,,,,,,,,,,,,,,,,,,,,7.6,0.21,,,3.7,0.99,,,,,,,,,,,,,,,SED,SSTgbs J1801542-043753,270.4758,-4.6314,270.47598185786,-4.63143637070,0.0002588,0.0001860,62.24,4174092248980642176,270.47596797333,0.0118,-4.63142165974,0.0104,4.5372,0.0135,336.4549,4.544,-3.114,0.015,3.310,0.013,282,-3.6559,479.51,0.064,5.202e+00,31,,,17,0.848,1,8.20836e+05,1.36028e+02,10.901725,4.15453e+05,2.80728e+02,11.292238,5.83875e+05,10.332096,1.217,0.960142,,,0,,,,,274069061,427214568,0.002761,0.002885,0.003792,10.901725,0.002761,8.20836e+05,0.004,0.2448,0.2040,0.2670
0.900159,270.621667,-5.264444,4,4,Aquila,J180229.2-051552,8.3,-2.03,1700.0,3.6,-2.38,2000.0,9.8,N,-,340.0,9.9,890.0,36.0,1200.0,30.0,800.0,41.0,530.0,26.0,490.0,24.0,330.0,16.0,100.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,,240.0,3.3,,,120.0,2.9,,,,,,,,,,,,,,,SED,SSTgbs J1802292-051552,270.6217,-5.2644,270.62182991828,-5.26463427140,0.0040740,0.0032902,86.74,4173997038145475712,270.62182104623,0.1883,-5.26466093864,0.1678,-0.1379,0.2415,-0.5710,6.321,-1.988,0.253,-6.000,0.202,170,13.8185,4894.34,1.423,2.046e+02,95,0.9187,0.0487,13,1.851,0,6.88410e+03,4.52911e+02,16.092749,9.11331e+01,2.25244e+01,20.439352,1.43287e+04,14.357375,2.095,6.081977,,,0,,,101682706218172859,,274061612,424213858,0.071485,0.268364,0.210126,16.067158,0.069822,7.04828e+03,0.182,4.0717,3.2930,0.0244
1.531821,270.758333,-4.709167,5,5,Aquila,J180302.0-044233,12.4,-2.45,2100.0,0.11,-3.15,2500.0,0.92,N,-,37.0,1.0,40.0,1.1,30.0,0.83,13.0,0.64,8.8,0.42,5.9,0.28,3.5,0.17,1.5,0.22,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.16,,,,,,,,,,,,,,,,,,,SED,SSTgbs J1803020-044233,270.7583,-4.7092,270.75869154205,-4.70939801821,0.0002808,0.0002161,63.05,4174098742971379712,270.75869253141,0.0142,-4.70939687693,0.0136,4.1615,0.0159,260.9076,0.339,0.222,0.017,0.257,0.014,256,0.8477,256.49,0.000,0.000e+00,31,,,17,1.037,0,6.29056e+04,3.72134e+01,13.690643,2.17637e+04,5.57665e+01,14.494212,6.00704e+04,12.801244,1.301,1.692968,,,0,,,102342707586719140,,274068887,427214821,0.002829,0.003940,0.004080,13.690643,0.002829,6.29056e+04,0.007,0.2687,0.2308,0.2093
0.747311,270.783333,-4.589722,6,6,Aquila,J180308.0-043523,8.0,-2.18,1700.0,0.24,-2.52,2000.0,0.64,Y,-,23.0,0.62,67.0,1.6,81.0,1.7,49.0,2.5,33.0,1.6,26.0,1.3,19.0,0.88,4.7,0.48,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.28,,,8.2,0.85,,,,,,,,,,,,,,,SED,SSTgbs J1803080-043523,270.7833,-4.5897,270.78351811106,-4.58981710759,0.0024039,0.0016431,53.79,4174102144585694848,270.78351057843,0.1083,-4.58983681229,0.1041,-0.1309,0.1187,-1.1030,4.745,-1.689,0.134,-4.434,0.118,242,-2.8559,516.56,0.692,1.154e+01,95,1.0398,0.0274,16,0.870,0,2.27215e+03,6.38193e+00,17.296274,5.11893e+01,1.03687e+01,21.065594,4.21781e+03,15.685178,1.879,5.380416,,,0,,,102492707835162637,,274069759,428212172,0.004110,0.219940,0.008115,17.270683,0.004058,2.32634e+03,0.065,2.1689,1.9427,0.3483
0.908793,270.8075,-4.479167,7,7,Aquila,J180313.8-042845,6.9,-2.22,1800.0,0.72,-2.53,2000.0,1.7,Y,-,88.0,1.9,200.0,4.8,250.0,4.9,140.0,7.4,96.0,4.7,77.0,3.7,50.0,2.4,14.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.51,,,19.0,1.1,,,,,,,,,,,,,,,SED,SSTgbs J1803138-042845,270.8075,-4.4792,270.80774283793,-4.47923853079,0.0030200,0.0021474,69.11,4174112074550143872,270.80773146563,0.1232,-4.47926898543,0.1098,0.0400,0.1299,0.3075,7.312,-2.551,0.182,-6.852,0.139,199,1.2780,1479.94,0.938,6.445e+01,95,1.0497,0.0313,14,1.064,0,6.87999e+03,3.56740e+01,16.093397,6.57006e+01,9.26860e+00,20.794619,1.34937e+04,14.422568,1.971,6.372050,,,0,,,102622708077145320,,274069944,428212192,0.006268,0.153194,0.017327,16.067806,0.006150,7.04408e+03,0.018,2.9235,2.2770,0.2257
1.136707,271.099583,-4.38,8,8,Aquila,J180423.9-042248,9.0,-2.15,1700.0,2.2,-2.44,2000.0,6.3,Y,-,180.0,4.3,540.0,18.0,750.0,18.0,510.0,25.0,340.0,17.0,310.0,15.0,200.0,9.5,48.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.5,,,63.0,2.1,,,,,,,,,,,,,,,SED,SSTgbs J1804239-042248,271.0996,-4.38,271.09989677323,-4.38004266108,0.0030200,0.0025454,71.64,4174204605324091776,271.09988459795,0.1489,-4.38005889701,0.1526,0.0147,0.2145,0.0686,4.561,-2.731,0.185,-3.653,0.157,201,7.8019,2189.43,1.188,7.318e+01,95,1.0528,0.0379,13,1.418,0,5.65956e+03,7.19691e+01,16.305410,6.51783e+01,1.09802e+01,20.803286,1.20288e+04,14.547339,2.137,6.255947,,,0,,,102742710996444247,,,429216047,0.014079,0.182929,0.038900,16.279819,0.013764,5.79454e+03,0.200,2.9763,2.5964,0.1022
1.477667,271.14875,-4.783333,9,9,Aquila,J180435.7-044700,8.1,-2.26,1700.0,1.9,-2.65,2000.0,5.3,Y,-,200.0,4.8,520.0,16.0,700.0,16.0,410.0,21.0,230.0,11.0,200.0,9.6,120.0,5.8,40.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,81.0,1.2,,,50.0,1.7,,,,,,,,,,,,,,,SED,SSTgbs J1804357-044700,271.1487,-4.7833,271.14910810293,-4.78353581526,0.0038515,0.0023810,61.66,4174041705803694336,271.14909081085,0.1630,-4.78356133114,0.1564,0.0392,0.1823,0.2152,6.928,-3.877,0.222,-5.741,0.169,219,15.3678,4938.24,1.349,1.854e+02,95,1.1177,0.0395,15,1.829,0,9.63507e+03,4.75184e+01,15.727730,7.49009e+01,1.19321e+01,20.652325,1.97065e+04,14.011373,2.053,6.640952,,,0,,,102262711490890182,,274077523,427215085,0.006022,0.172986,0.015307,15.711565,0.005952,9.77959e+03,0.062,3.5734,2.7810,0.3853
0.368915,271.185417,-4.618333,10,10,Aquila,J180444.5-043706,12.4,0.53,540.0,0.055,-0.1,1000.0,0.11,N,-,0.62,0.05,2.2,0.09,3.6,0.14,4.7,0.23,6.9,0.33,12.0,0.57,27.0,1.3,67.0,6.2,110,16.0,,,,,,,,,,,,,,,,,,,,,,,27.0,0.47,,,65.0,2.2,,,,,,,,,,,,,,,SED,SSTgbs J1804445-043706,271.1854,-4.6183,271.18550804350,-4.61838060499,0.0039212,0.0018572,42.65,4174057163392004736,271.18550804350,2.9872,-4.61838060499,3.1467,,,,,,,,,81,2.1283,104.55,5.140,1.692e+00,3,,,9,,0,7.87109e+01,1.76396e+00,20.947279,4.89001e+01,8.29514e+00,21.115269,1.75382e+02,19.137934,2.849,1.977335,,,0,,,102452711854318360,,,,0.024487,0.184199,0.092061,20.947279,0.024487,7.87109e+01,1.518,2.9872,3.1467,0.6323
