_RAJ2000,_DEJ2000,recno,Seq,Cloud,ID,Av,alpha,Tbol,Lbol,alpha0,Tbol0,Lbol0,AGB?,Core?,F1.25,e_F1.25,F1.65,e_F1.65,F2.17,e_F2.17,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,F24,e_F24,F70,e_F70,F0.36,e_F0.36,F0.44,e_F0.44,F0.55,e_F0.55,F0.64,e_F0.64,F0.665,e_F0.665,F0.79,e_F0.79,F0.914,e_F0.914,F0.96,e_F0.96,F3.4,e_F3.4,F5.0,e_F5.0,F6.7,e_F6.7,F12,e_F12,F14,e_F14,F22,e_F22,F160,e_F160,F350,e_F350,F450,e_F450,F850,e_F850,F1100,e_F1100,F1200,e_F1200,F1300,e_F1300,SED,SimbadName,_RA,_DE
270.436667,-4.828056,1,1,Aquila,J180144.8-044941,8.2,-2.16,1700.0,3.0,-2.52,2000.0,8.2,N,-,290.0,7.3,820.0,33.0,1100.0,21.0,620.0,36.0,420.0,24.0,350.0,17.0,220.0,11.0,67.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,160.0,2.3,,,87.0,2.3,,,,,,,,,,,,,,,SED,SSTgbs J1801448-044941,270.4367,-4.8281
270.440833,-4.983889,2,2,Aquila,J180145.8-045902,8.0,-2.14,1700.0,1.4,-2.56,2000.0,3.7,N,-,140.0,3.3,370.0,14.0,480.0,9.3,300.0,15.0,160.0,7.7,150.0,6.9,92.0,4.3,36.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,70.0,1.0,,,47.0,1.6,,,,,,,,,,,,,,,SED,SSTgbs J1801458-045902,270.4408,-4.9839
270.475833,-4.631389,3,3,Aquila,J180154.2-043753,12.4,-2.57,2100.0,0.52,-3.22,2600.0,4.7,Y,-,220.0,5.2,180.0,3.4,120.0,2.3,53.0,2.8,34.0,1.7,23.0,1.1,13.0,0.65,3.2,0.38,36,9.0,,,,,,,,,,,,,,,,,,,,,,,7.6,0.21,,,3.7,0.99,,,,,,,,,,,,,,,SED,SSTgbs J1801542-043753,270.4758,-4.6314
270.621667,-5.264444,4,4,Aquila,J180229.2-051552,8.3,-2.03,1700.0,3.6,-2.38,2000.0,9.8,N,-,340.0,9.9,890.0,36.0,1200.0,30.0,800.0,41.0,530.0,26.0,490.0,24.0,330.0,16.0,100.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,,240.0,3.3,,,120.0,2.9,,,,,,,,,,,,,,,SED,SSTgbs J1802292-051552,270.6217,-5.2644
270.758333,-4.709167,5,5,Aquila,J180302.0-044233,12.4,-2.45,2100.0,0.11,-3.15,2500.0,0.92,N,-,37.0,1.0,40.0,1.1,30.0,0.83,13.0,0.64,8.8,0.42,5.9,0.28,3.5,0.17,1.5,0.22,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.16,,,,,,,,,,,,,,,,,,,SED,SSTgbs J1803020-044233,270.7583,-4.7092
270.783333,-4.589722,6,6,Aquila,J180308.0-043523,8.0,-2.18,1700.0,0.24,-2.52,2000.0,0.64,Y,-,23.0,0.62,67.0,1.6,81.0,1.7,49.0,2.5,33.0,1.6,26.0,1.3,19.0,0.88,4.7,0.48,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.28,,,8.2,0.85,,,,,,,,,,,,,,,SED,SSTgbs J1803080-043523,270.7833,-4.5897
270.8075,-4.479167,7,7,Aquila,J180313.8-042845,6.9,-2.22,1800.0,0.72,-2.53,2000.0,1.7,Y,-,88.0,1.9,200.0,4.8,250.0,4.9,140.0,7.4,96.0,4.7,77.0,3.7,50.0,2.4,14.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0.51,,,19.0,1.1,,,,,,,,,,,,,,,SED,SSTgbs J1803138-042845,270.8075,-4.4792
271.099583,-4.38,8,8,Aquila,J180423.9-042248,9.0,-2.15,1700.0,2.2,-2.44,2000.0,6.3,Y,-,180.0,4.3,540.0,18.0,750.0,18.0,510.0,25.0,340.0,17.0,310.0,15.0,200.0,9.5,48.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.5,,,63.0,2.1,,,,,,,,,,,,,,,SED,SSTgbs J1804239-042248,271.0996,-4.38
271.14875,-4.783333,9,9,Aquila,J180435.7-044700,8.1,-2.26,1700.0,1.9,-2.65,2000.0,5.3,Y,-,200.0,4.8,520.0,16.0,700.0,16.0,410.0,21.0,230.0,11.0,200.0,9.6,120.0,5.8,40.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,81.0,1.2,,,50.0,1.7,,,,,,,,,,,,,,,SED,SSTgbs J1804357-044700,271.1487,-4.7833
271.185417,-4.618333,10,10,Aquila,J180444.5-043706,12.4,0.53,540.0,0.055,-0.1,1000.0,0.11,N,-,0.62,0.05,2.2,0.09,3.6,0.14,4.7,0.23,6.9,0.33,12.0,0.57,27.0,1.3,67.0,6.2,110,16.0,,,,,,,,,,,,,,,,,,,,,,,27.0,0.47,,,65.0,2.2,,,,,,,,,,,,,,,SED,SSTgbs J1804445-043706,271.1854,-4.6183
