angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.270058,85.6778333,-10.41925,1,05 42 42.68,-10 25 09.3,14.38,0.04,12.06,0.03,10.5,0.02,8.53,0.01,7.57,0.01,6.71,0.01,5.85,0.01,1.97,0.01,1.15,0.22,P,2M,Simbad,85.67789438469,-10.41929492359,0.0189581,0.0152879,27.63,3011807234630171904,85.67789909757,0.9045,-10.41929995489,1.0853,0.6377,1.1877,0.5369,1.539,1.043,0.971,-1.132,1.086,202,0.5402,238.54,2.709,2.152e+00,95,1.1167,0.2014,15,1.026,0,1.16992e+02,3.51394e+00,20.516973,5.42850e+01,9.31994e+00,21.001842,3.03388e+02,18.542900,3.057,2.458942,,,0,,,95490856779077243,,26368209,,0.032727,0.186426,0.076760,20.500037,0.032224,1.18831e+02,1.657,16.1477,18.2313,0.1754
0.239132,85.632375,-10.0906111,5,05 42 31.77,-10 05 26.2,14.21,0.03,12.75,0.02,11.75,0.02,10.45,0.01,9.92,0.01,9.48,0.01,8.87,0.01,6.22,0.02,0.45,-1.04,D,2M,Simbad,85.63235319332,-10.09067396019,0.0034593,0.0030947,59.15,3011869799417682944,85.63235307879,0.1503,-10.09067620903,0.1556,1.8436,0.2196,8.3955,0.507,-0.025,0.209,-0.506,0.196,350,2.1651,487.17,0.956,4.724e+00,95,1.1828,0.0459,20,1.083,0,6.33248e+02,5.64384e+00,18.683432,7.94784e+01,7.70494e+00,20.587920,1.02471e+03,17.221397,1.744,3.366522,,,0,,,95890856323701597,,26370312,,0.010061,0.105292,0.030956,18.657841,0.009845,6.48351e+02,0.209,3.3673,3.1946,0.0978
0.224989,85.6584583,-10.0621111,6,05 42 38.03,-10 03 43.6,14.05,0.03,12.77,0.03,12.14,0.03,11.57,0.01,11.3,0.01,10.92,0.01,10.55,0.02,7.68,0.04,0.51,-1.64,D,2M,Simbad,85.65851417139,-10.06214075686,0.0021031,0.0018434,86.17,3011893335838292608,85.65851445077,0.0956,-10.06214620891,0.0910,1.9959,0.1261,15.8311,1.228,0.062,0.130,-1.227,0.112,417,-1.7535,416.69,0.000,0.000e+00,31,,,22,0.939,0,9.81641e+02,8.03233e+00,18.207485,1.10740e+02,8.23556e+00,20.227780,1.57597e+03,16.754025,1.718,3.473755,,,0,,,95920856585265820,,,,0.009302,0.080793,0.025647,18.207485,0.009302,9.81641e+02,0.169,2.1020,1.8446,0.0176
0.563482,85.7497083,-10.0611111,7,05 42 59.93,-10 03 40.0,12.82,0.02,11.84,0.03,11.44,0.03,10.98,0.01,10.78,0.01,10.33,0.01,9.29,0.01,5.79,0.01,0.3,-0.86,D,2M,Simbad,85.74975036698,-10.06126204296,0.0009574,0.0008722,92.20,3011892790378687744,85.74975385782,0.0471,-10.06127030595,0.0415,2.2608,0.0620,36.4422,2.014,0.773,0.059,-1.859,0.053,378,-0.1440,421.52,0.092,4.103e-01,31,,,22,0.994,0,3.71323e+03,1.73294e+01,16.762987,4.53948e+02,1.43453e+01,18.696026,5.94185e+03,15.313092,1.722,3.382934,,,0,,,95920857497526906,,,400011109,0.005768,0.034424,0.015807,16.762987,0.005768,3.71323e+03,0.186,0.9573,0.8724,-0.0072
0.614510,85.7497083,-10.0611111,7,05 42 59.93,-10 03 40.0,12.82,0.02,11.84,0.03,11.44,0.03,10.98,0.01,10.78,0.01,10.33,0.01,9.29,0.01,5.79,0.01,0.3,-0.86,D,2M,Simbad,85.74971876869,-10.06094071430,0.0038122,0.0034995,86.36,3011892790377676800,85.74972211124,0.1944,-10.06094737056,0.1712,2.1167,0.2613,8.0993,1.671,0.741,0.234,-1.498,0.213,348,4.4737,526.84,1.012,4.218e+00,95,1.2509,0.0486,21,1.175,0,5.25134e+02,1.37120e+00,18.886692,,,,,,,,,,0,,,,,,,0.003953,,,18.886692,0.003953,5.25134e+02,,3.8110,3.5008,0.0109
0.605023,85.7499583,-10.0598333,8,05 42 59.99,-10 03 35.4,,,14.09,0.08,13.49,0.06,12.7,0.01,12.44,0.01,12.03,0.02,,,,,0.27,,D,2M,Simbad,85.74998864457,-10.05999868474,0.0116234,0.0099310,68.66,3011892786083061504,85.74998585767,0.5168,-10.06000493299,0.4845,1.6525,0.7167,2.3059,1.535,-0.617,0.708,-1.406,0.622,304,12.4662,803.17,2.627,7.441e+00,95,0.9957,0.1388,21,1.551,0,1.50566e+02,8.23803e-01,20.243052,1.73657e+01,6.86660e+00,22.239311,2.35922e+02,18.815975,1.682,3.423336,,,0,,,95920857499848409,,,,0.006548,0.429322,0.049079,20.217461,0.006423,1.54157e+02,0.140,11.4137,10.1713,0.1065
0.392950,85.741,-10.0598056,9,05 42 57.84,-10 03 35.3,16.16,0.08,15.18,0.07,14.48,0.1,14.06,0.01,13.75,0.01,13.23,0.04,12.83,0.05,,,0.07,-1.38,D,2M,Simbad,85.74094933821,-10.05990268766,0.0358564,0.0194999,92.42,3011892854802538112,85.74097766567,1.3133,-10.05991188819,1.0417,2.5394,1.4710,1.7264,6.608,6.276,2.256,-2.070,1.207,159,3.0441,216.91,4.077,2.200e+00,95,0.8086,0.3069,13,1.177,0,8.08294e+01,1.07517e+00,20.918444,4.35315e+01,1.22471e+01,21.241533,1.25628e+02,19.500177,2.093,1.741356,,,0,,,95920857409888540,,,,0.014703,0.305474,0.039367,20.913892,0.014643,8.11690e+01,0.793,35.8339,19.5412,-0.0545
0.360202,85.6545833,-10.0582222,10,05 42 37.10,-10 03 29.6,12.83,0.03,11.64,0.03,11.07,0.02,10.45,0.01,10.15,0.01,9.75,0.01,8.99,0.01,6.21,0.02,0.43,-1.15,D,2M,Simbad,85.65457462912,-10.05832189109,0.0009579,0.0008579,93.58,3011893408853983232,85.65457598101,0.0458,-10.05832669576,0.0428,2.1091,0.0615,34.2791,1.122,0.300,0.059,-1.081,0.052,415,-0.5518,450.86,0.095,4.111e-01,31,,,22,0.980,0,3.38006e+03,8.83189e+00,16.865057,3.96339e+02,9.73071e+00,18.843376,4.78697e+03,15.547744,1.533,3.295632,,,0,,,95930856545830415,,,,0.003955,0.026802,0.009695,16.865057,0.003955,3.38006e+03,0.009,0.9575,0.8584,-0.0138
0.392237,85.6851667,-10.0551111,11,05 42 44.44,-10 03 18.4,13.5,0.03,11.92,0.02,11.14,0.02,10.42,0.01,10.19,0.01,9.87,0.01,9.17,0.01,5.14,0.02,0.77,-1.39,D,2M,Simbad,85.68522013099,-10.05520651114,0.0023480,0.0020412,96.57,3011893473277246464,85.68522295902,0.1107,-10.05521281481,0.1069,2.1532,0.1484,14.5066,1.551,0.627,0.144,-1.418,0.124,367,-1.1367,395.25,0.000,0.000e+00,31,,,20,0.957,0,9.46794e+02,1.79732e+00,18.246729,9.99040e+01,1.11262e+01,20.339584,1.48754e+03,16.816725,1.677,3.522860,,,0,,,95930856852394161,,,,0.003441,0.120949,0.008140,18.246729,0.003441,9.46794e+02,0.120,2.3443,2.0455,-0.0319
0.176331,85.7200833,-10.0448056,12,05 42 52.82,-10 02 41.3,15.76,0.07,14.63,0.06,14.05,0.07,13.41,0.01,13.13,0.01,12.8,0.03,12.13,0.02,,,0.35,-1.36,D,2M,Simbad,85.72012008074,-10.04483857675,0.0025118,0.0017472,35.30,3011893060960967808,85.72012008074,2.0348,-10.04483857675,2.2850,,,,,,,,,112,4.9044,194.98,6.361,6.385e+00,3,,,9,,0,8.21681e+01,1.21291e+00,20.900608,3.11525e+01,5.02897e+00,21.604810,1.46908e+02,19.330284,2.167,2.274527,,,0,,,95940857201236623,,,,0.016262,0.175293,0.100696,20.900608,0.016262,8.21681e+01,0.793,2.0348,2.2850,0.3303
