angDist,_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.294303,85.6778333,-10.41925,1,05 42 42.68,-10 25 09.3,14.38,0.04,12.06,0.03,10.5,0.02,8.53,0.01,7.57,0.01,6.71,0.01,5.85,0.01,1.97,0.01,1.15,0.22,P,2M,Simbad,3011807234630171904,85.67789909757,-10.41929995489,1715.90686000,943.80157500,2972.61743000,1976.94910000,1490.77222000,2999.47803000,10033
0.246934,85.632375,-10.0906111,5,05 42 31.77,-10 05 26.2,14.21,0.03,12.75,0.02,11.75,0.02,10.45,0.01,9.92,0.01,9.48,0.01,8.87,0.01,6.22,0.02,0.45,-1.04,D,2M,Simbad,3011869799417682944,85.63235307879,-10.09067620903,549.11425800,499.85699500,626.18750000,523.11407500,475.97662400,583.38214100,10033
0.235774,85.6584583,-10.0621111,6,05 42 38.03,-10 03 43.6,14.05,0.03,12.77,0.03,12.14,0.03,11.57,0.01,11.3,0.01,10.92,0.01,10.55,0.02,7.68,0.04,0.51,-1.64,D,2M,Simbad,3011893335838292608,85.65851445077,-10.06214620891,501.91085800,469.64300500,529.88653600,509.06536900,474.06716900,543.85345500,10033
0.591456,85.7497083,-10.0611111,7,05 42 59.93,-10 03 40.0,12.82,0.02,11.84,0.03,11.44,0.03,10.98,0.01,10.78,0.01,10.33,0.01,9.29,0.01,5.79,0.01,0.3,-0.86,D,2M,Simbad,3011892790377676800,85.74972211124,-10.06094737056,475.97085600,424.07055700,545.34307900,,,,10099
0.595457,85.7497083,-10.0611111,7,05 42 59.93,-10 03 40.0,12.82,0.02,11.84,0.03,11.44,0.03,10.98,0.01,10.78,0.01,10.33,0.01,9.29,0.01,5.79,0.01,0.3,-0.86,D,2M,Simbad,3011892790378687744,85.74975385782,-10.06127030595,434.14871200,424.20806900,444.79217500,433.77783200,424.28701800,446.55212400,10033
0.625553,85.7499583,-10.0598333,8,05 42 59.99,-10 03 35.4,,,14.09,0.08,13.49,0.06,12.7,0.01,12.44,0.01,12.03,0.02,,,,,0.27,,D,2M,Simbad,3011892786083061504,85.74998585767,-10.06000493299,1176.51367000,630.89691200,1961.33630000,657.31640600,502.98880000,785.58471700,10033
0.390742,85.741,-10.0598056,9,05 42 57.84,-10 03 35.3,16.16,0.08,15.18,0.07,14.48,0.1,14.06,0.01,13.75,0.01,13.23,0.04,12.83,0.05,,,0.07,-1.38,D,2M,Simbad,3011892854802538112,85.74097766567,-10.05991188819,771.96569800,423.96981800,1860.76917000,5197.19238000,4251.39746000,6395.17920000,20033
0.377078,85.6545833,-10.0582222,10,05 42 37.10,-10 03 29.6,12.83,0.03,11.64,0.03,11.07,0.02,10.45,0.01,10.15,0.01,9.75,0.01,8.99,0.01,6.21,0.02,0.43,-1.15,D,2M,Simbad,3011893408853983232,85.65457598101,-10.05832669576,464.64297500,452.41339100,475.73364300,463.00131200,449.41168200,479.31265300,10033
0.416955,85.6851667,-10.0551111,11,05 42 44.44,-10 03 18.4,13.5,0.03,11.92,0.02,11.14,0.02,10.42,0.01,10.19,0.01,9.87,0.01,9.17,0.01,5.14,0.02,0.77,-1.39,D,2M,Simbad,3011893473277246464,85.68522295902,-10.05521281481,463.39175400,432.22814900,503.90719600,474.24710100,444.58279400,517.25390600,10033
0.242733,85.719125,-10.0417778,13,05 42 52.59,-10 02 30.4,14.7,0.03,13.6,0.04,13.0,0.03,12.46,0.01,12.28,0.01,12.1,0.02,12.03,0.02,8.57,0.09,0.3,-2.33,D,2M,Simbad,3011893129679899776,85.71919139717,-10.04176131647,360.94397000,315.46014400,420.60662800,370.08242800,313.19415300,431.01849400,10033
