_RAJ2000,_DEJ2000,Seq,RAJ2000,DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],AKs,alpha,Cl,2M,Simbad
85.6778333,-10.41925,1,05 42 42.68,-10 25 09.3,14.38,0.04,12.06,0.03,10.5,0.02,8.53,0.01,7.57,0.01,6.71,0.01,5.85,0.01,1.97,0.01,1.15,0.22,P,2M,Simbad
85.6272917,-10.1799444,2,05 42 30.55,-10 10 47.8,,,,,,,14.48,0.01,13.97,0.01,13.52,0.05,12.95,0.05,,,,-1.08,D,2M,Simbad
85.756625,-10.1306389,3,05 43 01.59,-10 07 50.3,,,,,,,14.58,0.01,13.91,0.01,13.35,0.04,12.95,0.05,,,,-0.97,D,2M,Simbad
85.5544583,-10.0930278,4,05 42 13.07,-10 05 34.9,,,15.18,0.06,13.6,0.04,11.55,0.01,10.57,0.01,9.69,0.01,8.84,0.01,5.48,0.01,0.35,0.26,P,2M,Simbad
85.632375,-10.0906111,5,05 42 31.77,-10 05 26.2,14.21,0.03,12.75,0.02,11.75,0.02,10.45,0.01,9.92,0.01,9.48,0.01,8.87,0.01,6.22,0.02,0.45,-1.04,D,2M,Simbad
85.6584583,-10.0621111,6,05 42 38.03,-10 03 43.6,14.05,0.03,12.77,0.03,12.14,0.03,11.57,0.01,11.3,0.01,10.92,0.01,10.55,0.02,7.68,0.04,0.51,-1.64,D,2M,Simbad
85.7497083,-10.0611111,7,05 42 59.93,-10 03 40.0,12.82,0.02,11.84,0.03,11.44,0.03,10.98,0.01,10.78,0.01,10.33,0.01,9.29,0.01,5.79,0.01,0.3,-0.86,D,2M,Simbad
85.7499583,-10.0598333,8,05 42 59.99,-10 03 35.4,,,14.09,0.08,13.49,0.06,12.7,0.01,12.44,0.01,12.03,0.02,,,,,0.27,,D,2M,Simbad
85.741,-10.0598056,9,05 42 57.84,-10 03 35.3,16.16,0.08,15.18,0.07,14.48,0.1,14.06,0.01,13.75,0.01,13.23,0.04,12.83,0.05,,,0.07,-1.38,D,2M,Simbad
85.6545833,-10.0582222,10,05 42 37.10,-10 03 29.6,12.83,0.03,11.64,0.03,11.07,0.02,10.45,0.01,10.15,0.01,9.75,0.01,8.99,0.01,6.21,0.02,0.43,-1.15,D,2M,Simbad
85.6851667,-10.0551111,11,05 42 44.44,-10 03 18.4,13.5,0.03,11.92,0.02,11.14,0.02,10.42,0.01,10.19,0.01,9.87,0.01,9.17,0.01,5.14,0.02,0.77,-1.39,D,2M,Simbad
85.7200833,-10.0448056,12,05 42 52.82,-10 02 41.3,15.76,0.07,14.63,0.06,14.05,0.07,13.41,0.01,13.13,0.01,12.8,0.03,12.13,0.02,,,0.35,-1.36,D,2M,Simbad
85.719125,-10.0417778,13,05 42 52.59,-10 02 30.4,14.7,0.03,13.6,0.04,13.0,0.03,12.46,0.01,12.28,0.01,12.1,0.02,12.03,0.02,8.57,0.09,0.3,-2.33,D,2M,Simbad
85.5285,-10.0411667,14,05 42 06.84,-10 02 28.2,,,15.92,0.14,14.62,0.11,13.93,0.01,13.23,0.01,12.38,0.02,11.25,0.02,7.31,0.03,0.59,0.25,FP,2M,Simbad
85.5517083,-10.0364167,15,05 42 12.41,-10 02 11.1,13.31,0.02,12.27,0.03,11.78,0.02,11.27,0.01,10.99,0.01,10.54,0.01,9.63,0.01,6.82,0.01,0.3,-0.94,D,2M,Simbad
