angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
1.007318,63.30875,28.319444,1,041314.1+281910,LkCa 1,,8.54,0.05,,8.5,0.05,,8.41,0.05,,8.43,0.05,,8.28,0.08,>,1.3,,,,,,no,no,no,no,,1,LkCa 1,yso,star,III,M4,,1.3,-0.3,<,2.0E-5,,63.3087,28.3194,04131414+2819108,63.308926,+28.319677,0.070,0.060,0,9.638,8.867,8.625,0.022,0.017,0.019,AAA,212,0,2450780.7781
0.856811,63.363333,28.273333,2,041327.2+281624,Anon 1,,7.23,0.05,,7.24,0.05,,7.17,0.05,,7.08,0.05,,6.95,0.05,>,1.27,,,,,,no,no,no,no,,1,NAME Herbig's Anon 1,yso,star,III,M0,,3.2,0.4,<,3.8E-5,,63.3633,28.2733,04132722+2816247,63.363444,+28.273550,0.080,0.060,0,8.826,7.794,7.460,0.030,0.027,0.029,AAA,111,0,2450780.7809
1.247653,63.471667,28.189722,3,041353.2+281123,IRAS04108+2803 A,,9.02,0.05,,8.37,0.05,,7.67,0.05,,6.57,0.05,,3.44,0.04,>,0.19,,>,-2.05,,,yes,yes,yes,yes,b,1,NAME IRAS 04108+2803A,yso,class II,flat,,,,,,,c,63.4717,28.1897,04135328+2811233,63.472041,+28.189829,0.070,0.060,0,13.639,11.521,10.370,0.024,0.024,0.019,AAA,222,0,2450780.7810
0.927001,63.477917,28.192222,4,041354.7+281132,IRAS04108+2803 B,,9.38,0.05,,8.03,0.05,,6.96,0.05,,5.78,0.05,,1.38,0.04,,-1.84,0.22,>,-1.94,,yes,yes,yes,yes,yes,b,1,NAME IRAS 04108+2803B,yso,embedded,I,,,,,,,c,63.4779,28.1922,04135471+2811328,63.477987,+28.192472,0.090,0.080,0,16.481,13.376,11.063,0.115,0.037,0.021,BAA,222,0,2450780.7810
1.069693,63.48875,29.305278,5,041357.3+291819,IRAS04108+2910,,7.48,0.05,,6.84,0.05,,6.26,0.05,,5.54,0.05,,3.13,0.04,,1.15,0.22,>,-3.39,,yes,yes,yes,yes,yes,,1,IRAS04108+2910,yso,class II,II,K5e,-201.4,4.8,-0.4,,0.37,"a,b",63.4887,29.3053,04135737+2918193,63.489074,+29.305370,0.060,0.060,0,11.310,10.157,9.356,0.023,0.024,0.024,AAA,222,0,2450780.7885
1.184919,63.549167,28.198056,6,041411.8+281153,J04141188+2811535,,10.93,0.06,,10.4,0.05,,10.12,0.07,,8.99,0.06,,5.76,0.01,>,1.03,,,,,,yes,yes,yes,yes,,1,2MASS J04141188+2811535,yso,class II,II,M6.25,,1.7,-1.6,,0.25,,63.5492,28.1981,04141188+2811535,63.549505,+28.198196,0.070,0.060,0,13.161,12.329,11.639,0.024,0.022,0.021,AAA,222,0,2450780.7877
0.508872,63.55375,28.203333,8,041412.9+281212,V773 Tau ABC,<,6.62,,<,6.1,,,5.13,0.05,,4.38,0.05,,1.69,0.04,,0.27,0.22,,,,yes,yes,yes,,,,1,V773 Tau,,,II,K3,,2.8,0.9,,0.047,,63.5537,28.2033,04141291+2812124,63.553827,+28.203457,0.070,0.060,0,7.494,6.644,6.210,0.024,0.020,0.047,AAA,111,0,2450780.7877
1.105218,63.55625,28.213611,9,041413.5+281249,FM Tau,,8.09,0.05,,7.67,0.05,,7.36,0.05,,6.42,0.05,,2.92,0.04,,1.07,0.22,,,,yes,yes,yes,yes,yes,,1,FM Tau,yso,class II,II,M0,-99.1,2.4,-0.3,,0.18,a,63.5562,28.2136,04141358+2812492,63.556590,+28.213678,0.070,0.060,0,10.329,9.391,8.763,0.021,0.022,0.022,AAA,222,0,2450780.7877
1.181859,63.560417,28.466111,10,041414.5+282758,FN Tau,,7.59,0.05,,7.17,0.05,,6.71,0.05,,5.75,0.05,,2.03,0.04,,-0.25,0.22,,,,yes,yes,yes,yes,yes,,1,FN Tau,yso,class II,II,M5,,1.6,-0.2,,0.22,,63.5604,28.4661,04141458+2827580,63.560790,+28.466127,0.070,0.060,0,9.469,8.669,8.189,0.022,0.036,0.018,AAA,211,0,2450780.7879
0.835929,63.570833,28.1825,11,041417.0+281057,CW Tau,<,6.62,,<,6.1,,,5.08,0.05,,4.51,0.05,,1.75,0.04,,-0.42,0.22,,,,yes,yes,yes,,,,1,CW Tau,,,II,K3,-137.9,6.9,0.6,,0.22,a,63.5708,28.1825,04141700+2810578,63.570844,+28.182732,0.070,0.060,0,9.557,8.243,7.127,0.022,0.027,0.023,AAA,211,0,2450780.7877
