angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.989908,63.30875,28.319444,1,041314.1+281910,LkCa 1,,8.54,0.05,,8.5,0.05,,8.41,0.05,,8.43,0.05,,8.28,0.08,>,1.3,,,,,,no,no,no,no,,1,LkCa 1,yso,star,III,M4,,1.3,-0.3,<,2.0E-5,,63.3087,28.3194,63.30897980596,28.31963023875,0.0004617,0.0002932,72.81,163246832135164544,63.30902163571,0.0198,28.31952237442,0.0115,7.8433,0.0227,345.4943,25.645,8.285,0.028,-24.269,0.020,354,3.6610,1113.02,0.127,2.120e+01,31,,,18,1.141,0,1.85081e+05,2.05334e+02,12.518961,3.50207e+04,1.67331e+02,13.977729,2.33453e+05,11.327399,1.451,2.650330,,,0,,,,,,592040356,0.003007,0.005890,0.005018,12.518961,0.003007,1.85081e+05,0.022,0.4495,0.3116,0.2563
0.718085,63.363333,28.273333,2,041327.2+281624,Anon 1,,7.23,0.05,,7.24,0.05,,7.17,0.05,,7.08,0.05,,6.95,0.05,>,1.27,,,,,,no,no,no,no,,1,NAME Herbig's Anon 1,yso,star,III,M0,,3.2,0.4,<,3.8E-5,,63.3633,28.2733,63.36342425992,28.27351555913,0.0007538,0.0004898,73.42,163233981593016064,63.36346516346,0.0327,28.27340900191,0.0200,7.3587,0.0368,199.8844,25.308,8.105,0.046,-23.975,0.033,342,17.1181,3195.02,0.256,1.017e+02,31,,,18,1.726,0,2.48064e+05,2.48865e+02,12.200956,4.36727e+04,1.84728e+02,13.738017,3.17335e+05,10.994099,1.455,2.743918,14.34,11.52,10,4000.0,3.0,141920633635178696,,,592040364,0.002963,0.005374,0.004894,12.200956,0.002963,2.48064e+05,0.012,0.7359,0.5163,0.2363
1.122219,63.471667,28.189722,3,041353.2+281123,IRAS04108+2803 A,,9.02,0.05,,8.37,0.05,,7.67,0.05,,6.57,0.05,,3.44,0.04,>,0.19,,>,-2.05,,,yes,yes,yes,yes,b,1,NAME IRAS 04108+2803A,yso,class II,flat,,,,,,,c,63.4717,28.1897,63.47201382822,28.18978305408,0.0214942,0.0127371,63.38,163229544890946944,63.47205850492,0.7390,28.18968238908,0.4799,5.8785,0.8606,6.8307,24.321,8.860,1.247,-22.650,0.936,334,2.8517,447.45,2.634,3.174e+00,95,0.8713,0.1600,17,1.112,0,1.31572e+02,7.92588e-01,20.389460,1.53575e+01,5.44234e+00,22.372744,2.75969e+02,18.645746,2.214,3.726997,,,0,,,141820634722638155,,,,0.007097,0.384771,0.042179,20.363869,0.006957,1.34710e+02,0.630,20.0459,14.9130,0.4016
1.072520,63.48875,29.305278,5,041357.3+291819,IRAS04108+2910,,7.48,0.05,,6.84,0.05,,6.26,0.05,,5.54,0.05,,3.13,0.04,,1.15,0.22,>,-3.39,,yes,yes,yes,yes,yes,,1,IRAS04108+2910,yso,class II,II,K5e,-201.4,4.8,-0.4,,0.37,"a,b",63.4887,29.3053,63.48907138984,29.30537905579,0.0012505,0.0007475,77.94,165563674934601856,63.48911799460,0.0527,29.30527342231,0.0273,8.3557,0.0588,142.2197,25.466,9.144,0.076,-23.768,0.049,336,16.6745,979.07,0.276,1.856e+01,31,,,15,1.713,0,1.75440e+04,2.54174e+02,15.077045,4.12774e+03,1.79795e+02,16.299261,2.15522e+04,13.914168,1.464,2.385093,,,0,,,143160634890866942,,,597042012,0.015969,0.047375,0.045718,15.077045,0.015969,1.75440e+04,0.074,1.2328,0.7763,0.2146
1.183033,63.549167,28.198056,6,041411.8+281153,J04141188+2811535,,10.93,0.06,,10.4,0.05,,10.12,0.07,,8.99,0.06,,5.76,0.01,>,1.03,,,,,,yes,yes,yes,yes,,1,2MASS J04141188+2811535,yso,class II,II,M6.25,,1.7,-1.6,,0.25,,63.5492,28.1981,63.54951700430,28.19816931500,0.0026161,0.0015468,81.81,163182888662060928,63.54955532567,0.1036,28.19806335942,0.0571,7.6222,0.1171,65.1105,25.022,7.599,0.161,-23.840,0.099,400,4.1822,675.71,0.511,7.192e+00,95,1.2376,0.0193,18,1.152,0,2.31162e+03,2.38473e+01,17.277575,4.97065e+02,2.83553e+01,18.597510,3.39987e+03,15.919241,1.686,2.678268,,,0,,,141830635495788285,,,591041211,0.011535,0.061999,0.026518,17.256883,0.011329,2.35610e+03,0.253,2.5988,1.5757,0.1533
0.498959,63.55375,28.203333,8,041412.9+281212,V773 Tau ABC,<,6.62,,<,6.1,,,5.13,0.05,,4.38,0.05,,1.69,0.04,,0.27,0.22,,,,yes,yes,yes,,,,1,V773 Tau,,,II,K3,,2.8,0.9,,0.047,,63.5537,28.2033,63.55385881288,28.20343307088,0.0026418,0.0017172,80.70,163184366130809984,63.55389179679,0.1165,28.20330955070,0.0687,8.3261,0.1313,63.4277,28.551,6.540,0.163,-27.792,0.110,398,119.4763,42598.66,1.056,1.481e+03,31,,,18,7.526,0,1.89258e+06,3.21204e+03,9.994732,6.21600e+05,3.31626e+03,10.854765,1.86835e+06,9.069250,1.316,1.785515,-2.01,4.03,7,3600.0,4.5,,,,592040392,0.003315,0.006429,0.006494,9.994732,0.003315,1.89258e+06,0.010,2.6218,1.7476,0.1403
1.125702,63.55625,28.213611,9,041413.5+281249,FM Tau,,8.09,0.05,,7.67,0.05,,7.36,0.05,,6.42,0.05,,2.92,0.04,,1.07,0.22,,,,yes,yes,yes,yes,yes,,1,FM Tau,yso,class II,II,M0,-99.1,2.4,-0.3,,0.18,a,63.5562,28.2136,63.55660081485,28.21365805072,0.0004791,0.0003099,83.72,163184366130809472,63.55664309355,0.0212,28.21354898267,0.0122,7.5753,0.0244,310.5585,25.932,8.383,0.030,-24.540,0.020,385,15.9517,932.87,0.130,1.334e+01,31,,,18,1.630,0,6.93612e+04,5.27454e+02,13.584575,1.73930e+04,6.88719e+02,14.737607,8.15608e+04,12.469193,1.427,2.268415,,,0,,,141850635566786887,,,592040393,0.008704,0.043083,0.020083,13.584575,0.008704,6.93612e+04,0.054,0.4774,0.3125,0.0973
1.247541,63.560417,28.466111,10,041414.5+282758,FN Tau,,7.59,0.05,,7.17,0.05,,6.71,0.05,,5.75,0.05,,2.03,0.04,,-0.25,0.22,,,,yes,yes,yes,yes,yes,,1,FN Tau,yso,class II,II,M5,,1.6,-0.2,,0.22,,63.5604,28.4661,63.56081060990,28.46612992533,0.0006107,0.0004252,71.08,164738521519622656,63.56085784984,0.0252,28.46602397241,0.0165,7.6986,0.0280,274.7201,25.605,9.344,0.037,-23.839,0.028,373,8.3038,2101.96,0.201,4.980e+01,31,,,18,1.320,0,1.44540e+05,2.39094e+02,12.787397,2.16262e+04,1.74701e+02,14.501090,1.95430e+05,11.520418,1.502,2.980672,,,0,,,,,,593040819,0.003289,0.009204,0.005882,12.787397,0.003289,1.44540e+05,0.024,0.5939,0.4483,0.2213
0.768660,63.570833,28.1825,11,041417.0+281057,CW Tau,<,6.62,,<,6.1,,,5.08,0.05,,4.51,0.05,,1.75,0.04,,-0.42,0.22,,,,yes,yes,yes,,,,1,CW Tau,,,II,K3,-137.9,6.9,0.6,,0.22,a,63.5708,28.1825,63.57085111256,28.18271291903,0.0007517,0.0004867,83.54,163184091252903936,63.57089217436,0.0330,28.18260533540,0.0195,7.6017,0.0373,203.9307,25.539,8.144,0.046,-24.206,0.031,413,7.0902,4529.00,0.290,1.163e+02,95,1.3221,0.0060,18,1.258,0,1.46242e+05,4.59170e+03,12.774684,4.57599e+04,4.89497e+03,13.687330,1.90480e+05,11.548272,1.615,2.139058,,,0,,,141810635709179773,,,591041215,0.034201,0.116176,0.092809,12.774684,0.034201,1.46242e+05,0.261,0.7489,0.4910,0.0998
0.666992,63.573333,28.1025,12,041417.6+280609,CIDA-1,,8.67,0.05,,8.13,0.05,,7.59,0.05,,6.71,0.05,,3.53,0.04,,1.28,0.22,,,,yes,yes,yes,yes,yes,,1,[BCG93] 1,yso,class II,II,M5.5,,4.6,-0.7,,0.32,,63.5733,28.1025,63.57337313145,28.10268186233,0.0010126,0.0006463,84.34,163181342473839744,63.57341487257,0.0408,28.10257694131,0.0235,7.4283,0.0457,162.5661,25.019,8.285,0.063,-23.607,0.041,400,1.9661,557.51,0.193,5.392e+00,31,,,17,1.070,0,1.02242e+04,3.94121e+01,15.663297,1.31211e+03,3.61124e+01,17.543613,1.48106e+04,14.321462,1.577,3.222152,,,0,,,141720635734213728,,,591041216,0.005011,0.030012,0.012194,15.663297,0.005011,1.02242e+04,0.063,1.0097,0.6508,0.0908
