angDist,_RAJ2000,_DEJ2000,recno,SST,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,M2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.905909,63.30875,28.319444,1,041314.1+281910,LkCa 1,,8.54,0.05,,8.5,0.05,,8.41,0.05,,8.43,0.05,,8.28,0.08,>,1.3,,,,,,no,no,no,no,,1,LkCa 1,yso,star,III,M4,,1.3,-0.3,<,2.0E-5,,63.3087,28.3194,163246832135164544,63.30902163571,28.31952237442,127.31964900,126.93290700,127.69936400,127.28978000,126.97179400,127.68742400,10033
0.500443,63.363333,28.273333,2,041327.2+281624,Anon 1,,7.23,0.05,,7.24,0.05,,7.17,0.05,,7.08,0.05,,6.95,0.05,>,1.27,,,,,,no,no,no,no,,1,NAME Herbig's Anon 1,yso,star,III,M0,,3.2,0.4,<,3.8E-5,,63.3633,28.2733,163233981593016064,63.36346516346,28.27340900191,135.89259300,135.31660500,136.55891400,135.71743800,135.13581800,136.34629800,10033
1.250402,63.471667,28.189722,3,041353.2+281123,IRAS04108+2803 A,,9.02,0.05,,8.37,0.05,,7.67,0.05,,6.57,0.05,,3.44,0.04,>,0.19,,>,-2.05,,,yes,yes,yes,yes,b,1,NAME IRAS 04108+2803A,yso,class II,flat,,,,,,,c,63.4717,28.1897,163229544890946944,63.47205850492,28.18968238908,197.36227400,166.31689500,239.92816200,253.71005200,235.90693700,279.69586200,10012
1.155358,63.48875,29.305278,5,041357.3+291819,IRAS04108+2910,,7.48,0.05,,6.84,0.05,,6.26,0.05,,5.54,0.05,,3.13,0.04,,1.15,0.22,>,-3.39,,yes,yes,yes,yes,yes,,1,IRAS04108+2910,yso,class II,II,K5e,-201.4,4.8,-0.4,,0.37,"a,b",63.4887,29.3053,165563674934601856,63.48911799460,29.30527342231,118.96873500,118.09716000,119.74677300,118.96398900,118.09012600,119.76937100,10033
1.232345,63.549167,28.198056,6,041411.8+281153,J04141188+2811535,,10.93,0.06,,10.4,0.05,,10.12,0.07,,8.99,0.06,,5.76,0.01,>,1.03,,,,,,yes,yes,yes,yes,,1,2MASS J04141188+2811535,yso,class II,II,M6.25,,1.7,-1.6,,0.25,,63.5492,28.1981,163182888662060928,63.54955532567,28.19806335942,130.34794600,128.44468700,132.31744400,130.46107500,128.61019900,132.42298900,10033
0.457716,63.55375,28.203333,8,041412.9+281212,V773 Tau ABC,<,6.62,,<,6.1,,,5.13,0.05,,4.38,0.05,,1.69,0.04,,0.27,0.22,,,,yes,yes,yes,,,,1,V773 Tau,,,II,K3,,2.8,0.9,,0.047,,63.5537,28.2033,163184366130809984,63.55389179679,28.20330955070,119.91769400,117.90560900,122.00676700,118.70378100,116.76106300,120.68831600,10033
1.266835,63.55625,28.213611,9,041413.5+281249,FM Tau,,8.09,0.05,,7.67,0.05,,7.36,0.05,,6.42,0.05,,2.92,0.04,,1.07,0.22,,,,yes,yes,yes,yes,yes,,1,FM Tau,yso,class II,II,M0,-99.1,2.4,-0.3,,0.18,a,63.5562,28.2136,163184366130809472,63.55664309355,28.21354898267,131.11280800,130.63844300,131.55001800,131.14369200,130.65451000,131.57269300,10033
1.429928,63.560417,28.466111,10,041414.5+282758,FN Tau,,7.59,0.05,,7.17,0.05,,6.71,0.05,,5.75,0.05,,2.03,0.04,,-0.25,0.22,,,,yes,yes,yes,yes,yes,,1,FN Tau,yso,class II,II,M5,,1.6,-0.2,,0.22,,63.5604,28.4661,164738521519622656,63.56085784984,28.46602397241,129.52734400,129.02380400,130.00845300,129.49998500,129.07409700,130.03747600,10033
0.423151,63.570833,28.1825,11,041417.0+281057,CW Tau,<,6.62,,<,6.1,,,5.08,0.05,,4.51,0.05,,1.75,0.04,,-0.42,0.22,,,,yes,yes,yes,,,,1,CW Tau,,,II,K3,-137.9,6.9,0.6,,0.22,a,63.5708,28.1825,163184091252903936,63.57089217436,28.18260533540,131.29336500,130.66641200,131.99197400,131.27938800,130.52607700,132.06376600,10033
0.379894,63.573333,28.1025,12,041417.6+280609,CIDA-1,,8.67,0.05,,8.13,0.05,,7.59,0.05,,6.71,0.05,,3.53,0.04,,1.28,0.22,,,,yes,yes,yes,yes,yes,,1,[BCG93] 1,yso,class II,II,M5.5,,4.6,-0.7,,0.32,,63.5733,28.1025,163181342473839744,63.57341487257,28.10257694131,133.52368200,132.71447800,134.31910700,133.41647300,132.49412500,134.12468000,10033
