_RAJ2000,_DEJ2000,SST,l_[3.6],[3.6],l_[4.5],[4.5],l_[5.8],[5.8],l_[8.0],[8.0],l_[24],[24],l_[70],[70],l_[160],[160],IRAC,2M,SimbadName,Class,SpType,EW,AV,l_LIR/L,LIR/L,_RA,_DE
63.30875,28.319444,041314.1+281910,,8.54,,8.5,,8.41,,8.43,,8.28,>,1.3,,,no,1,LkCa 1,III,M4,,1.3,<,2.0E-5,63.3087,28.3194
63.363333,28.273333,041327.2+281624,,7.23,,7.24,,7.17,,7.08,,6.95,>,1.27,,,no,1,NAME Herbig's Anon 1,III,M0,,3.2,<,3.8E-5,63.3633,28.2733
63.471667,28.189722,041353.2+281123,,9.02,,8.37,,7.67,,6.57,,3.44,>,0.19,>,-2.05,yes,1,NAME IRAS 04108+2803A,flat,,,,,,63.4717,28.1897
63.477917,28.192222,041354.7+281132,,9.38,,8.03,,6.96,,5.78,,1.38,,-1.84,>,-1.94,yes,1,NAME IRAS 04108+2803B,I,,,,,,63.4779,28.1922
63.48875,29.305278,041357.3+291819,,7.48,,6.84,,6.26,,5.54,,3.13,,1.15,>,-3.39,yes,1,IRAS04108+2910,II,K5e,-201.4,4.8,,0.37,63.4887,29.3053
63.549167,28.198056,041411.8+281153,,10.93,,10.4,,10.12,,8.99,,5.76,>,1.03,,,yes,1,2MASS J04141188+2811535,II,M6.25,,1.7,,0.25,63.5492,28.1981
63.550833,28.143611,041412.2+280837,,13.19,,11.9,,11.19,,10.39,,3.47,,-0.33,,,yes,0,NAME IRAS 04111+2800G,I,,,,,,63.5508,28.1436
63.55375,28.203333,041412.9+281212,<,6.62,<,6.1,,5.13,,4.38,,1.69,,0.27,,,,1,V773 Tau,II,K3,,2.8,,0.047,63.5537,28.2033
63.55625,28.213611,041413.5+281249,,8.09,,7.67,,7.36,,6.42,,2.92,,1.07,,,yes,1,FM Tau,II,M0,-99.1,2.4,,0.18,63.5562,28.2136
63.560417,28.466111,041414.5+282758,,7.59,,7.17,,6.71,,5.75,,2.03,,-0.25,,,yes,1,FN Tau,II,M5,,1.6,,0.22,63.5604,28.4661
63.570833,28.1825,041417.0+281057,<,6.62,<,6.1,,5.08,,4.51,,1.75,,-0.42,,,,1,CW Tau,II,K3,-137.9,6.9,,0.22,63.5708,28.1825
63.573333,28.1025,041417.6+280609,,8.67,,8.13,,7.59,,6.71,,3.53,,1.28,,,yes,1,[BCG93] 1,II,M5.5,,4.6,,0.32,63.5733,28.1025
63.609167,28.100833,041426.2+280603,<,6.62,<,6.1,,4.63,,3.79,<,0.45,,-2.54,,-4.35,,1,[CG2010] IRAS 04113+2758(N),I,M2.5,,17.1,,0.5,63.6092,28.1008
63.627083,28.087222,041430.5+280514,,7.22,,6.49,,5.75,,4.53,<,0.45,,-1.06,,-4.15,yes,1,[BHS98] MHO 3,flat,K7,,11.3,,0.17,63.6271,28.0872
63.697083,26.773889,041447.3+264626,,8.11,,7.86,,7.6,,7.27,,4.25,,1.22,,,yes,1,FP Tau,II,M4,,0.8,,0.083,63.6971,26.7739
63.699167,26.803056,041447.8+264811,,8.48,,8.13,,7.68,,6.63,,3.35,,1.23,,,yes,1,CX Tau,II,M2.5,,1.4,,0.11,63.6992,26.8031
63.699583,27.876111,041447.9+275234,,7.28,,7.33,,7.27,,7.23,,7.07,>,1.17,,,no,1,EM* LkCa 3,III,M1,,0.7,<,4.3E-5,63.6996,27.8761
63.705,28.208333,041449.2+281230,,7.53,,7.17,,6.72,,5.92,,2.83,,0.79,,,yes,1,FO Tau,II,M2,,3.7,,0.094,63.705,28.2083
63.77125,28.146111,041505.1+280846,,8.9,,8.79,,8.71,,8.68,,8.45,>,1.31,,,no,1,[BCG93] 2,III,M4.5,,0.6,<,8.2E-5,63.7712,28.1461
63.81125,28.0025,041514.7+280009,,13.23,,12.72,,12.94,,12.81,>,10.61,>,0.9,,,no,1,[BLH2002] KPNO-Tau 1,III,M8.5,,1.7,,0.013,63.8112,28.0025
63.85,29.178611,041524.0+291043,,11.86,,11.79,,11.66,,11.48,>,10.06,>,1.14,,,no,1,2MASS J04152409+2910434,III,M7,,1.3,<,0.0046,63.85,29.1786
64.050417,27.943889,041612.1+275638,,9.38,,9.04,,8.71,,8.3,,5.37,,1.55,,,yes,1,2MASS J04161210+2756385,II,M4.75,,4.6,,0.15,64.0504,27.9439
64.078333,27.870833,041618.8+275215,,10.88,,10.78,,10.67,,10.68,>,9.95,>,1.26,,,no,1,2MASS J04161885+2752155,III,M6.25,,1.1,<,0.002,64.0783,27.8708
64.117083,28.126389,041628.1+280735,,8.18,,8.17,,8.04,,8.05,,7.94,>,1.2,,,no,1,LkCa 4,III,K7,,0.8,<,5.7E-5,64.1171,28.1264
64.162917,28.980278,041639.1+285849,,10.5,,10.14,,9.86,,9.41,,7.22,>,1.24,,,yes,1,2MASS J04163911+2858491,II,M5.5,,2.3,,0.082,64.1629,28.9803
64.390417,28.346111,041733.7+282046,,7.87,,7.53,,7.27,,6.72,,4.42,,1.87,>,-1.41,yes,1,CY Tau,II,M1,,1.7,,0.076,64.3904,28.3461
64.412083,28.55,041738.9+283300,,8.93,,,,8.8,,,,8.66,>,1.61,,,,1,LkCa 5,III,M2,,0.2,<,5.7E-5,64.4121,28.55
64.45625,28.225278,041749.5+281331,,10.82,,10.36,,9.81,,8.89,,5.96,,1.92,,,yes,1,[BLH2002] KPNO-Tau 10,II,M5,,1.1,,0.12,64.4562,28.2253
64.456667,28.493333,041749.6+282936,,8.41,,7.85,,7.42,,6.47,,3.78,,2.95,,,yes,1,[SS94] V410 X-ray 1,II,M2,,5.5,,0.12,64.4567,28.4933
64.532917,28.434167,041807.9+282603,,10.04,,9.94,,9.9,,9.8,,9.27,>,1.79,,,no,1,[SS94] V410 X-ray 3,III,M6,,0.8,<,2.5E-4,64.5329,28.4342
64.57125,28.478056,041817.1+282841,,10.23,,9.94,,9.49,,8.81,,6.04,,,>,-0.57,yes,1,[SS94] V410 Anon 13,II,M5,,5.9,,0.068,64.5712,28.4781
64.592917,28.410278,041822.3+282437,,9.84,,9.54,,9.34,,9.38,,9.29,>,1.6,>,1.5,no,1,[SS94] V410 Anon 24,II,G1,,22.5,<,5.8E-6,64.5929,28.4103
64.620833,28.438611,041829.0+282619,,8.87,,8.64,,8.46,,8.39,,8.15,>,1.67,>,0.12,no,1,[SS94] V410 Anon 25,II,M1,,22.9,<,1.2E-5,64.6208,28.4386
64.62625,27.722222,041830.3+274320,,10.71,,10.59,,10.6,,10.5,>,10.01,>,1.46,,,no,1,[BLH2002] KPNO-Tau 11,III,M5.5,,0.0,<,0.0018,64.6262,27.7222
64.629583,28.454444,041831.1+282716,,7.36,,7.34,,7.34,,7.25,,7.14,>,1.65,,,no,1,V* V410 Tau,III,K3,,1.1,<,6.5E-5,64.6296,28.4544
64.629583,28.274722,041831.1+281629,<,6.62,<,6.1,,5.29,,4.48,,1.75,,-0.04,,,,1,DD Tau,II,M1,,4.3,,0.3,64.6296,28.2747
64.63125,28.282778,041831.5+281658,,8.46,,7.63,,6.62,,5.0,,1.96,,1.45,,,yes,1,CZ Tau,II,M1.5,,0.7,,0.53,64.6312,28.2828
64.633333,28.520833,041832.0+283115,,7.57,,7.07,,6.12,,5.52,,1.91,,-0.38,,,yes,1,IRAS04154+2823,I,M2.5,,19.0,,0.63,64.6333,28.5208
64.643333,28.508333,041834.4+283030,,8.35,,8.09,,7.8,,7.55,,3.41,,0.31,,,no,1,[SS94] V410 X-ray 2,flat,M0,,21.0,,0.024,64.6433,28.5083
64.6675,28.406667,041840.2+282424,,8.91,,8.64,,8.44,,8.43,,8.09,>,1.6,>,-2.59,no,1,[SS94] V410 X-ray 4,II,M4,,18.0,<,6.3E-6,64.6675,28.4067
64.669167,28.320833,041840.6+281915,<,6.62,<,6.1,,3.61,<,3.52,<,0.45,<,-2.3,<,-4.9,,1,V892 Tau,flat,A6,-12.7,14.3,,0.089,64.6692,28.3208
64.672083,28.456944,041841.3+282725,,9.5,,8.92,,8.44,,7.95,,4.65,,0.38,>,-0.29,yes,1,LR1,flat,K4.5,,24.0,,0.12,64.6721,28.4569
64.677083,28.313611,041842.5+281849,,8.73,,8.61,,8.35,,8.09,,5.15,>,-0.3,>,-2.88,no,1,[SS94] V410 X-ray 7,II,M1,,10.3,,0.0092,64.6771,28.3136
