angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0.889418,62.99875,29.71,1,041159.7+294236,w,,,,,,10.91,0.05,,,,,10.22,0.06,,9.88,0.35,>,1.16,,>,1.33,,,yes,no,yes,,,1,,C,,,III,G8-K1,0.9,2.8,-0.8,,0.002,needs add'l followup,b,62.9987,29.71,04115972+2942368,62.998870,+29.710224,0.110,0.070,0,11.928,11.206,10.973,0.021,0.022,0.021,AAA,222,0,2450780.7623
1.052217,63.384583,29.290556,2,041332.3+291726,w,,,13.04,0.06,,12.96,0.06,,12.79,0.07,,11.96,0.07,,8.19,0.09,,2.45,0.22,>,0.08,,no,yes,no,no,no,,1,,A,not yso,star,II,,,,,,,pending followup,c,63.3846,29.2906,04133235+2917267,63.384823,+29.290760,0.100,0.070,0,13.901,13.327,13.187,0.025,0.028,0.026,AAA,222,0,2450780.7802
0.626874,63.414167,29.353889,3,041339.4+292114,w,,,12.8,0.06,,11.94,0.05,,11.15,0.06,,10.35,0.06,,7.54,0.06,>,1.2,,>,1.46,,,no,no,yes-faint,yes,,1,,B-,yso,embedded,flat,,,,,,,pending followup,j,63.4142,29.3539,04133944+2921143,63.414342,+29.353973,0.140,0.110,1,15.681,15.069,14.853,,,0.089,UUA,662,0,2450780.7801
0.255935,63.61375,25.858333,4,041427.3+255130,p,,,13.01,0.06,,12.95,0.06,,12.97,0.07,,12.22,0.08,,9.31,0.21,>,1.33,,>,-0.25,,,yes,no,no,no,,1,,B+,not yso,star,III,G5,2.5,0.4,-1.7,,0.0095,"possible,new member","b,n",63.6137,25.8583,04142730+2551302,63.613782,+25.858398,0.060,0.060,90,13.538,13.125,13.020,0.024,0.031,0.028,AAA,222,0,2450780.7924
1.130178,63.898333,28.794722,5,041535.6+284741,w,,,13.2,0.06,,12.26,0.06,,11.33,0.06,,10.34,0.06,,5.65,0.04,,2.05,0.22,>,-1.53,,yes,no,yes-faint,yes-faint,yes,,1,,A-,yso,embedded,I,,,,,,,pending followup,c,63.8983,28.7947,04153566+2847417,63.898611,+28.794920,0.110,0.060,179,15.848,14.892,14.302,0.069,0.066,0.051,AAA,222,0,2450780.7999
1.031104,63.912917,28.316111,6,041539.1+281858,M,,,8.77,0.05,,8.52,0.05,,8.17,0.05,,7.5,0.05,,4.23,0.04,,1.08,0.22,>,-2.26,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,II,M5,-7.2,2.8,-0.5,,0.075,new member,"b,f,l",63.9129,28.3161,04153916+2818586,63.913178,+28.316282,0.060,0.060,0,10.551,9.610,9.235,0.023,0.027,0.024,AAA,222,0,2450780.8003
1.351555,63.927917,29.166389,7,041542.7+290959,M,,,9.2,0.05,,9.18,0.05,,9.05,0.05,,9.0,0.06,,4.51,0.04,,-0.16,0.22,>,-2.01,,yes,yes,yes,no,no,,1,,A+,yso,star,II,M0 w/ Av,-1.9,2.5,-0.5,,0.099,new member,"b,f",63.9279,29.1664,04154278+2909597,63.928283,+29.166586,0.110,0.060,0,10.709,9.756,9.376,0.029,0.030,0.028,AEA,222,0,2450780.7996
1.372099,63.99125,27.771389,8,041557.9+274617,M,,,9.72,0.05,,9.4,0.05,,9.06,0.05,,8.37,0.05,,5.74,0.04,>,1.22,,>,-1.58,,,yes,yes,yes,yes,,1,,A+,yso,class II,II,M6,-32.2,1.1,-1.1,,0.12,new member,"b,f,l",63.9912,27.7714,04155799+2746175,63.991642,+27.771547,0.060,0.060,90,11.745,10.985,10.524,0.021,0.024,0.021,AAA,222,0,2450780.8007
0.499537,64.02,26.300278,9,041604.8+261801,w,,,12.27,0.05,,11.5,0.05,,10.73,0.06,,9.85,0.06,,6.53,0.05,>,1.3,,>,-1.27,,,no,yes-faint,yes-faint,yes,,1,,C-,yso,embedded,flat,,,,,,,pending followup,,64.02,26.3003,04160483+2618010,64.020153,+26.300299,0.090,0.080,0,16.502,15.340,14.262,0.121,0.108,0.061,BAA,222,0,2450781.7119
1.143794,64.102083,29.149444,11,041624.5+290858,w,HD 281820,,9.49,0.05,,9.49,0.05,,9.45,0.05,,9.44,0.05,,8.28,0.09,>,1.25,,>,-0.98,,,yes,yes,no,no,,1,HD 281820,B,yso,star,III,A2,11.5,0.8,0.3,,1.7E-4,needs add'l followup,"b,n",64.1021,29.1494,04162456+2908587,64.102356,+29.149654,0.070,0.060,0,9.729,9.624,9.498,0.020,0.025,0.017,AAA,222,0,2450781.7098
1.557159,64.275833,26.736944,12,041706.2+264413,w,,,11.08,0.05,,11.12,0.05,,11.1,0.06,,11.0,0.06,,8.92,0.16,>,0.96,,>,0.18,,,yes,no,no,no,,1,,B+,not yso,star,III,K3,1.5,0.9,-1.0,,0.002,needs add'l followup,b,64.2758,26.7369,04170629+2644138,64.276248,+26.737167,0.080,0.060,90,11.924,11.294,11.157,0.022,0.022,0.018,AAA,222,0,2450781.7213
0.472600,64.504583,28.590556,13,041801.1+283526,p,,,11.15,0.05,,11.12,0.05,,11.05,0.06,,10.94,0.06,,9.1,0.13,>,1.54,,>,-0.22,,,yes,no,no,no,,1,,B+,not yso,star,III,K0-K2:,1.1,6.2,-0.9,,0.0013,"possible,new member","b,o",64.5046,28.5906,04180111+2835264,64.504653,+28.590672,0.070,0.060,0,13.085,11.902,11.416,0.024,0.031,0.023,AAA,222,0,2450781.7272
1.341191,64.51375,24.669167,14,041803.3+244009,w,,,10.08,0.05,,10.07,0.05,,10.03,0.06,,9.83,0.05,,7.21,0.05,>,1.1,,>,-0.39,,,yes,yes-faint,no,no,,1,,B,yso,star,III,A9,7.9,0.3,-0.3,,0.0022,needs add'l followup,"b,e,n",64.5137,24.6692,04180338+2440096,64.514100,+24.669361,0.070,0.060,90,10.414,10.249,10.083,0.021,0.022,0.019,AAA,222,0,2450781.7243
1.297951,64.54375,28.746389,15,041810.5+284447,w,,,12.42,0.05,,11.73,0.05,,10.94,0.06,,10.06,0.06,,6.42,0.05,,1.84,0.22,>,2.04,,yes,no,no,yes-faint,yes,,1,,C,yso,class II,I,,,,,,,pending followup,,64.5437,28.7464,04181059+2844473,64.544147,+28.746483,0.110,0.110,135,16.594,15.560,14.393,0.119,0.125,0.070,BBA,222,0,2450781.7295
1.294712,64.544583,25.3325,16,041810.7+251957,M,[GBM90] L1506 1,,8.1,0.05,,7.76,0.05,,7.27,0.05,,6.33,0.05,,4.42,0.04,,1.72,0.22,>,-1.45,,yes,yes,yes,yes,yes,h,1,[GBM90] L1506 1,A+,yso,class II,II,K8-M0,-4.3,4.3,-0.3,,0.11,new member,"a,b,e,f,o",64.5446,25.3325,04181078+2519574,64.544954,+25.332630,0.060,0.060,0,10.744,9.589,9.032,0.024,0.022,0.019,AAA,222,0,2450781.7320
0.203664,64.596667,25.324444,17,041823.2+251928,w,2MASX 04182321+2519281,,11.79,0.05,,11.09,0.05,,10.44,0.06,,9.57,0.05,,6.18,0.05,>,1.18,,>,-1.08,,,yes-faint,yes-faint,yes-faint,yes,,1,2MASX J04182321+2519281,B+,yso,class II,flat,G,1.9,7.7,-1.8,,0.34,needs add'l followup,"b,e,l,n",64.5967,25.3244,04182321+2519280,64.596722,+25.324471,0.060,0.060,0,15.944,14.703,13.620,0.077,0.066,0.048,AAA,222,0,2450781.7320
