angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.936751,62.99875,29.71,1,041159.7+294236,w,,,,,,10.91,0.05,,,,,10.22,0.06,,9.88,0.35,>,1.16,,>,1.33,,,yes,no,yes,,,1,,C,,,III,G8-K1,0.9,2.8,-0.8,,0.002,needs add'l followup,b,62.9987,29.71,62.99891395540,29.71021778440,0.0005967,0.0003971,64.82,165636861177007360,62.99890138360,0.0224,29.71022182763,0.0147,0.3415,0.0259,13.2084,2.620,-2.457,0.036,0.910,0.028,343,2.2214,383.13,0.000,0.000e+00,31,,,15,1.086,0,3.39439e+04,7.39715e+00,14.360464,9.95760e+03,1.48493e+01,15.343156,3.51099e+04,13.384321,1.328,1.958835,,,0,,,143650629988882814,,,599042032,0.002765,0.003226,0.003820,14.360464,0.002765,3.39439e+04,-0.002,0.5658,0.4400,0.3068
1.056938,63.384583,29.290556,2,041332.3+291726,w,,,13.04,0.06,,12.96,0.06,,12.79,0.07,,11.96,0.07,,8.19,0.09,,2.45,0.22,>,0.08,,no,yes,no,no,no,,1,,A,not yso,star,II,,,,,,,pending followup,c,63.3846,29.2906,63.38482351805,29.29076141385,0.0013526,0.0008570,97.44,165564911884904576,63.38481886290,0.0555,29.29074850762,0.0318,0.7990,0.0655,12.1947,3.044,-0.913,0.084,-2.904,0.055,353,8.6298,649.24,0.293,9.278e+00,31,,,15,1.343,0,8.22072e+03,4.37638e+00,15.900092,3.00265e+03,1.24051e+01,16.644781,7.74992e+03,15.024653,1.308,1.620129,,,0,,,143140633848109458,,,597041885,0.002815,0.005283,0.004384,15.900092,0.002815,8.22072e+03,0.023,1.3458,0.8676,-0.1204
0.482474,63.414167,29.353889,3,041339.4+292114,w,,,12.8,0.06,,11.94,0.05,,11.15,0.06,,10.35,0.06,,7.54,0.06,>,1.2,,>,1.46,,,no,no,yes-faint,yes,,1,,B-,yso,embedded,flat,,,,,,,pending followup,j,63.4142,29.3539,63.41430306851,29.35395141755,0.0081168,0.0046551,91.48,165565526063708928,63.41430236973,0.2917,29.35395092139,0.1704,-0.6747,0.3599,-1.8746,0.177,-0.137,0.506,-0.112,0.295,359,0.4115,382.32,0.000,0.000e+00,31,,,17,1.015,0,3.58950e+02,1.74306e+00,19.299782,1.91328e+02,8.36388e+00,19.634098,2.73774e+02,18.654413,1.296,0.979685,,,0,,,143220634143005311,,,,0.005949,0.047545,0.032401,19.299782,0.005949,3.58950e+02,0.081,8.1149,4.6583,-0.0303
0.258036,63.61375,25.858333,4,041427.3+255130,p,,,13.01,0.06,,12.95,0.06,,12.97,0.07,,12.22,0.08,,9.31,0.21,>,1.33,,>,-0.25,,,yes,no,no,no,,1,,B+,not yso,star,III,G5,2.5,0.4,-1.7,,0.0095,"possible,new member","b,n",63.6137,25.8583,63.61379580764,25.85839163739,0.0005948,0.0004037,87.51,150667319602082688,63.61388526636,0.0247,25.85835512664,0.0156,1.0044,0.0278,36.1740,19.889,18.113,0.037,-8.215,0.026,363,-0.7239,349.42,0.000,0.000e+00,31,,,17,0.972,0,1.95595e+04,4.59732e+00,14.958975,9.16011e+03,1.26812e+01,15.433790,1.50314e+04,14.305399,1.237,1.128391,,,0,,,139030636138530595,1237660559207235880,,580038359,0.002767,0.003169,0.003915,14.958975,0.002767,1.95595e+04,0.008,0.5945,0.4042,0.0344
1.139317,63.898333,28.794722,5,041535.6+284741,w,,,13.2,0.06,,12.26,0.06,,11.33,0.06,,10.34,0.06,,5.65,0.04,,2.05,0.22,>,-1.53,,yes,no,yes-faint,yes-faint,yes,,1,,A-,yso,embedded,I,,,,,,,pending followup,c,63.8983,28.7947,63.89867666429,28.79481923194,0.0041258,0.0023871,92.63,164773327935288320,63.89867666429,4.1229,28.79481923194,2.3921,,,,,,,,,214,16.6696,767.04,16.093,2.126e+01,3,,,12,,0,6.88226e+01,1.05370e+00,21.093039,4.01966e+01,8.22944e+00,21.328068,2.46908e+02,18.766556,4.172,2.561512,,,0,,,142550638986274405,1237660753019994599,,,0.016850,0.222300,0.040424,21.093039,0.016850,6.88226e+01,2.756,4.1229,2.3921,-0.0526
0.985996,63.912917,28.316111,6,041539.1+281858,M,,,8.77,0.05,,8.52,0.05,,8.17,0.05,,7.5,0.05,,4.23,0.04,,1.08,0.22,>,-2.26,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,II,M5,-7.2,2.8,-0.5,,0.075,new member,"b,f,l",63.9129,28.3161,63.91318021689,28.31625701309,0.0006373,0.0004290,72.45,164684340508950144,63.91322841283,0.0284,28.31614973617,0.0171,7.5390,0.0316,238.3048,25.957,9.547,0.039,-24.137,0.029,426,6.1830,1132.05,0.194,1.770e+01,31,,,18,1.220,0,3.69360e+04,9.50793e+01,14.268743,3.84565e+03,4.17470e+01,16.376118,5.37510e+04,12.921928,1.559,3.454189,,,0,,,141980639131860007,1237660753019797568,,592040441,0.003925,0.012112,0.008815,14.268743,0.003925,3.69360e+04,0.012,0.6213,0.4520,0.2275
1.411448,63.927917,29.166389,7,041542.7+290959,M,,,9.2,0.05,,9.18,0.05,,9.05,0.05,,9.0,0.06,,4.51,0.04,,-0.16,0.22,>,-2.01,,yes,yes,yes,no,no,,1,,A+,yso,star,II,M0 w/ Av,-1.9,2.5,-0.5,,0.099,new member,"b,f",63.9279,29.1664,63.92827968696,29.16662012440,0.0005675,0.0003465,76.46,164800235906366976,63.92834129142,0.0246,29.16653948055,0.0135,6.2474,0.0270,231.6605,21.811,12.104,0.035,-18.145,0.023,351,8.8846,621.38,0.116,7.437e+00,31,,,18,1.355,0,4.81287e+04,7.56256e+01,13.981357,7.89699e+03,5.10081e+01,15.594889,6.36592e+04,12.738243,1.487,2.856646,,,0,,,143000639283100438,1237660753020191082,,596042663,0.003241,0.007548,0.005474,13.981357,0.003241,4.81287e+04,0.027,0.5577,0.3621,0.2277
1.360693,63.99125,27.771389,8,041557.9+274617,M,,,9.72,0.05,,9.4,0.05,,9.06,0.05,,8.37,0.05,,5.74,0.04,>,1.22,,>,-1.58,,,yes,yes,yes,yes,,1,,A+,yso,class II,II,M6,-32.2,1.1,-1.1,,0.12,new member,"b,f,l",63.9912,27.7714,63.99166427800,27.77148117454,0.0011144,0.0007141,84.63,162967384383246336,63.99170918430,0.0479,27.77137256331,0.0278,7.5097,0.0531,141.3257,26.021,8.940,0.069,-24.438,0.045,359,0.7440,707.73,0.275,1.020e+01,31,,,18,1.027,0,1.01633e+04,9.52969e+01,15.669778,7.86571e+02,2.81308e+01,18.099197,1.59045e+04,14.244092,1.642,3.855105,,,0,,,141320639916806323,1237660753019601013,,589042520,0.010547,0.038930,0.030808,15.669778,0.010547,1.01633e+04,0.041,1.1115,0.7185,0.0854
0.441990,64.02,26.300278,9,041604.8+261801,w,,,12.27,0.05,,11.5,0.05,,10.73,0.06,,9.85,0.06,,6.53,0.05,>,1.3,,>,-1.27,,,no,yes-faint,yes-faint,yes,,1,,C-,yso,embedded,flat,,,,,,,pending followup,,64.02,26.3003,64.02013595303,26.30029279927,0.0062110,0.0033824,78.60,150709444641383936,64.02013712744,0.2460,26.30029378364,0.1287,0.1827,0.3012,0.6067,0.324,0.237,0.377,0.221,0.222,326,2.2641,391.84,0.669,1.991e+00,95,1.5108,0.0446,16,1.090,0,5.69812e+02,3.08044e+00,18.798038,3.09023e+02,1.07725e+01,19.113565,6.59559e+02,17.699762,1.700,1.413803,,,0,,,139560640201360929,1237660753018945648,,582039520,0.006484,0.037951,0.021330,18.797997,0.006484,5.69833e+02,0.440,6.1250,3.5356,0.2428
1.173520,64.102083,29.149444,11,041624.5+290858,w,HD 281820,,9.49,0.05,,9.49,0.05,,9.45,0.05,,9.44,0.05,,8.28,0.09,>,1.25,,>,-0.98,,,yes,yes,no,no,,1,HD 281820,B,yso,star,III,A2,11.5,0.8,0.3,,1.7E-4,needs add'l followup,"b,n",64.1021,29.1494,64.10234339696,29.14967754330,0.0003724,0.0002324,88.14,164797865084406400,64.10239468388,0.0153,29.14961741334,0.0085,3.1815,0.0171,185.5737,16.870,10.078,0.023,-13.529,0.015,371,0.5241,835.29,0.074,8.658e+00,31,,,16,1.019,1,8.83171e+05,1.49527e+02,10.822255,4.75846e+05,2.19076e+02,11.144876,5.89085e+05,10.322450,1.206,0.822426,,,0,,,,1237660555450450039,,596042832,0.002761,0.002835,0.003798,10.822255,0.002761,8.83171e+05,0.004,0.3723,0.2326,0.0318
