angDist,_RAJ2000,_DEJ2000,recno,SST,M,CName,l_[3.6],[3.6],e_[3.6],l_[4.5],[4.5],e_[4.5],l_[5.8],[5.8],e_[5.8],l_[8.0],[8.0],e_[8.0],l_[24],[24],e_[24],l_[70],[70],e_[70],l_[160],[160],e_[160],24/70,KS/24,8/24,4.5/8,IRAC,M1,2M,SimbadName,Rank,c2dCat,GutCat,Class,SpType,EW,AV,logL*,l_LIR/L,LIR/L,Mmclass,Note2,_RA,_DE,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
0.928321,62.99875,29.71,1,041159.7+294236,w,,,,,,10.91,0.05,,,,,10.22,0.06,,9.88,0.35,>,1.16,,>,1.33,,,yes,no,yes,,,1,,C,,,III,G8-K1,0.9,2.8,-0.8,,0.002,needs add'l followup,b,62.9987,29.71,165636861177007360,62.99890138360,29.71022182763,2571.02197000,2409.17773000,2766.62769000,2668.20752000,2454.51562000,2884.33667000,10033
1.014247,63.384583,29.290556,2,041332.3+291726,w,,,13.04,0.06,,12.96,0.06,,12.79,0.07,,11.96,0.07,,8.19,0.09,,2.45,0.22,>,0.08,,no,yes,no,no,no,,1,,A,not yso,star,II,,,,,,,pending followup,c,63.3846,29.2906,165564911884904576,63.38481886290,29.29074850762,1200.07251000,1106.45435000,1314.63037000,1196.44763000,1110.82751000,1287.02698000,10033
0.479703,63.414167,29.353889,3,041339.4+292114,w,,,12.8,0.06,,11.94,0.05,,11.15,0.06,,10.35,0.06,,7.54,0.06,>,1.2,,>,1.46,,,no,no,yes-faint,yes,,1,,B-,yso,embedded,flat,,,,,,,pending followup,j,63.4142,29.3539,165565526063708928,63.41430236973,29.35395092139,3598.84009000,2363.12036000,6797.14111000,6909.80225000,5797.11084000,8486.23438000,10033
0.445383,63.61375,25.858333,4,041427.3+255130,p,,,13.01,0.06,,12.95,0.06,,12.97,0.07,,12.22,0.08,,9.31,0.21,>,1.33,,>,-0.25,,,yes,no,no,no,,1,,B+,not yso,star,III,G5,2.5,0.4,-1.7,,0.0095,"possible,new member","b,n",63.6137,25.8583,150667319602082688,63.61388526636,25.85835512664,955.46270800,924.57867400,981.79309100,961.24054000,941.12274200,981.66107200,10033
0.996744,63.912917,28.316111,6,041539.1+281858,M,,,8.77,0.05,,8.52,0.05,,8.17,0.05,,7.5,0.05,,4.23,0.04,,1.08,0.22,>,-2.26,,yes,yes,yes,yes,yes,,1,,A+,yso,class II,II,M5,-7.2,2.8,-0.5,,0.075,new member,"b,f,l",63.9129,28.3161,164684340508950144,63.91322841283,28.31614973617,131.45791600,130.90307600,132.12927200,131.62857100,131.11212200,132.15756200,10033
1.439597,63.927917,29.166389,7,041542.7+290959,M,,,9.2,0.05,,9.18,0.05,,9.05,0.05,,9.0,0.06,,4.51,0.04,,-0.16,0.22,>,-2.01,,yes,yes,yes,no,no,,1,,A+,yso,star,II,M0 w/ Av,-1.9,2.5,-0.5,,0.099,new member,"b,f",63.9279,29.1664,164800235906366976,63.92834129142,29.16653948055,158.65934800,158.01008600,159.31701700,158.57222000,157.93635600,159.40965300,10033
1.463850,63.99125,27.771389,8,041557.9+274617,M,,,9.72,0.05,,9.4,0.05,,9.06,0.05,,8.37,0.05,,5.74,0.04,>,1.22,,>,-1.58,,,yes,yes,yes,yes,,1,,A+,yso,class II,II,M6,-32.2,1.1,-1.1,,0.12,new member,"b,f,l",63.9912,27.7714,162967384383246336,63.99170918430,27.77137256331,132.07043500,131.13736000,132.90560900,131.88678000,131.01142900,132.73449700,10022
0.446190,64.02,26.300278,9,041604.8+261801,w,,,12.27,0.05,,11.5,0.05,,10.73,0.06,,9.85,0.06,,6.53,0.05,>,1.3,,>,-1.27,,,no,yes-faint,yes-faint,yes,,1,,C-,yso,embedded,flat,,,,,,,pending followup,,64.02,26.3003,150709444641383936,64.02013712744,26.30029378364,2600.17920000,1713.42529000,3751.88159000,2787.63281000,2333.32690000,3376.92651000,10033
1.161915,64.102083,29.149444,11,041624.5+290858,w,HD 281820,,9.49,0.05,,9.49,0.05,,9.45,0.05,,9.44,0.05,,8.28,0.09,>,1.25,,>,-0.98,,,yes,yes,no,no,,1,HD 281820,B,yso,star,III,A2,11.5,0.8,0.3,,1.7E-4,needs add'l followup,"b,n",64.1021,29.1494,164797865084406400,64.10239468388,29.14961741334,311.16223100,309.39819300,313.29162600,311.29464700,309.34655800,313.20065300,10023
1.488465,64.275833,26.736944,12,041706.2+264413,w,,,11.08,0.05,,11.12,0.05,,11.1,0.06,,11.0,0.06,,8.92,0.16,>,0.96,,>,0.18,,,yes,no,no,no,,1,,B+,not yso,star,III,K3,1.5,0.9,-1.0,,0.002,needs add'l followup,b,64.2758,26.7369,150831181194504832,64.27623241161,26.73715307286,2394.52783000,2296.45386000,2496.82983000,2391.68188000,2289.17969000,2510.67676000,10033
